round,heights,series,VL,dipt,morph,г|ҥ,н|ҥ,нь|й,assim,CL,г|к,ч|с,һ|ч,б|м,к|х,һ|с,г|ҕ,final,Com,Total,SIM,ҺАКАЛЫЫ,САХАЛЫЫ,НЬУУЧЧАЛЫЫ,GROUP,POS,,ҺАКАЛЫЫ_ex,САХАЛЫЫ_ex,НЬУУЧЧАЛЫЫ_ex,Agent
,,,,,,,,,1,,,1,,,,,,,13,15,87,аччыт,асчыт,"повар; человек, который умеет хорошо готовить",86,n,занятия,бэртээк аччыккын эбит!,бэртээхэй асчыт эбиккин!,ты отлично готовишь!,
,,,,,,,,,,,,,,,,,,,,,100,атта,атта,"место около, вокруг чего-то",87,n,послелог,аттыбар/аттыкааммар олор,аттыбар олор,сядь рядом со мной,
,,,,,,,,,,,,,,,,1,,,19,21,90,паасынай <sup>рус</sup>,бааһынай <sup>рус</sup>,крестьянин,88,n,,паасынай ыраахтааҕы кыыһын дьактардыыр,бааһынай ыраахтааҕы кыыһын ойох ылар,крестьянин женится на дочери царя,
,,,,,,,,,,,,,,,,1,,,17,18,94,һуорган,суорҕан,одеяло,89,n,,һуорганы түүрэр,суорҕаны түүрэр,он сворачивает одеяло,
,,,,,,,,,,,,,,,,,,1,20,21,95,иччитэк,иччитэх,пустой,90,adj,,иччитэк дьиэгэ коноллор,иччитэх дьиэҕэ хоноллор,они ночуют в пустом доме,
,,,,,,,,,,,,,,,,,,,,,0,радима <sup>рус</sup>,араадьыйа <sup>рус</sup>,радио,92,n,,ону радиманнан истибиппит,ону араадьыйанан истибиппит,мы это услышали по радио,
,,,,,,,,,,,,,,,,,,,,,100,тыһы,тыһы,"1. самка
2. важенка",93,n,оленеводство,"тыһы эбэкээ
тугуттаак тыһы","тыһы эһэ
тугуттаах тыһы","медведица
важенка с олененком",
,,,,,,,,,,,,,,,,,,,,,0,һогдооку <sup>эвенк</sup>,,"старая важенка, самка десяти лет",93,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,100,игирэ <sup>эвенк</sup>,игирэ <sup>эвенк</sup>,"близнецы, двойня",94,n,дети,игирэ аӈара,игирэ аҥара,один из близнецов,
,,,,,,,,,,,,,,,,,,,,,0,һарапчы <sup>эвенк</sup>,,очки,95,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,0,ачыкы <sup>рус</sup>,ачыкы <sup>рус</sup>,очки,95,n,инструменты,ачыкытын көннөрүннэ,ачыкытын көннөрүннэ,он поправил на себе очки,
,,,,,,,,,,,,,,,,,,,,,100,кыламан,кыламан,ресница,96,n,животные,кыламанынан баай кыыс,кыламанынан баай кыыс,богатая ресницами девушка,
,,,,,1,,,,1,,,,,,1,,,,11,18,61,"калка <sup>Тунг, Монг</sup>","хахха <sup>Тунг, Монг</sup>",защищённое место,97,n,природа,таас калкатыгар кистэнэ һытар,таас хаххатыгар кистэнэ һытар,он прячется за камнем,
,,,,,1,,,,1,,,,,,1,,,,17,24,71,"калкалаа <sup>Тунг, Монг</sup>","хаххалаа <sup>Тунг, Монг</sup>","заслонять, защищать",98,v,,биһигини тыалтан калкалыыр,биһигини тыалтан хаххалыыр,он нас защищает от ветра,
,,,,,,,,,,,,,,,1,,,,13,15,87,каӈас,хаҥас,левый,99,adj,,каӈас илиитинэн һуруйар,хаҥас илиитинэн суруйар,он пишет левой рукой,
,,,,,,,,,,,,,,,,,,,,,100,уӈа,уҥа,правый,99,adj,,уӈа карагынан көрбөт,уҥа хараҕынан көрбөт,он не видит правым глазом,
,,,,,,,,,,,,,,,,,,,,,0,гойобууннат <sup>эвенк</sup>,,ранить,230,v,организм,атакпын гойобууннаппытым,,меня ранило в ногу,
,,,,,,,,,,,,,,,,,,,,,0,гойобуун <sup>эвенк</sup>,,раненый,230,adj,организм,гойобуун буолбут киһи эрэйдэммитэ,,раненый человек страдал,
,,,,,,,,,,,,,,,,,,,,,0,,бааһырт,ранить,230,v,организм,,,,
,,,,,,,,,,,,,,,,,,,,,0,,бааһырбыт,раненый,230,adj,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,умус,умус,нырять,100,v,,дириӈник умуста,дириҥник умуста,он глубоко нырнул,
,,,,,,,,,,,,,,,,,,,,,50,үӈүү ,үҥүү,"наконечник хорея (һакалыы) 
копьё (сахалыы)",101,n,оленеводство,гинини үӈүүннэн анньан кээстэ,кинини үҥүүнэн анньан кэбистэ,"он его ткнул наконечником хорея (һакалыы) 
он его ткнул копьём (сахалыы) ",
,,,,,,,,,,,,,,,,,,,,,100,үөр,үөр,"1. стадо, табун 
2. стая, косяк, рой",102,n,"оленеводство, коневодство","үөрбүтүн эгэллибит 
каас үөрэ ааһа көттө","үөрбүтүн аҕаллыбыт 
хаас үөрэ ааһа көттө","мы пригнали наше стадо
пролетела стая гусей",
,,,,,,,,,,,,,,,,,,,,,100,"инньэ <sup>Тюрк, Тунг</sup>","иннэ <sup>Тюрк, Тунг</sup>","игла, иголка",103,n,,чөмүйэбин инньэннэн анньан кээстим,тарбахпын инньэнэн анньан кэбистим,я уколола палец иголкой,
,,,,,,,,,,,,,,,,,,,15,21,71,инньэрук <sup>эвенк</sup> (ниж.),,"игольница, игольник",103,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,100,инньэлик (верх.),инньэлик,"игольница, игольник",103,n,инструменты,,,,
,,,,,,,,,,,,,,,1,,,1,15,18,83,каппак,хаппах,крышка,105,n,,,,,
,,,,,,,,,,,,,,,1,,,,7,9,78,кап,хап,"ловить, хватать",105,v,,,,,
,,,,,,,,,,,,,,,,,,,,,0,таапы (ниж.),иэс баайсыы,"догонялки, салки, пятнашки",105,n,,,,,
,,,,,,,,,,,,,,,,,,,,,0,кабылык (верх.),иэс баайсыы,"догонялки, салки, пятнашки",105,n,,таапы оонньуубут,,,
,,,,,,,,,,,,,,,,,,1,14,15,93,тимэк,тимэх,пуговица,106,n,одежда,тимэги тик,тимэҕи тик,пришей пуговицу,
,,,,,,,,,,,,,,,,,,,,,0,һаһыл ого (ниж.),кыһыл оҕо,младенец,107,n.cmp,дети,һаһыл ого иньэтин эмиийин имэрийэр,кыһыл оҕо ийэтин эмиийин имэрийэр,младенец сосёт грудь матери,
,1,2,,,,,,,,,,,,,,,,,12,15,80,ньырай ого (верх.),ньирэй оҕо,младенец,107,n.cmp,дети,,,,
,1,,,,,,,,,,,,,,,,,,14,15,93,ирэӈэ,ириҥэ,гной,108,n,организм,бааһын ирэӈэтин ыраастыыр,бааһын ириҥэтин ыраастыыр,он чистит рану от гноя,
,,,,,,,,,,,,,,,1,,,,10,12,83,катыы (ниж.),хатыы,"гвоздь (һакалыы) 
маленький гвоздик (сахалыы)",109,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,0,,хатыы,"1. шип
2. заноза
3. хребтовая игла рыбы",109,n,"животные, растения",,"дөлүһүөн хатыыта
илиибэр хатыыны киллэрдим
хаахынай хатыыта","шипы шиповника
я занозил руку
иглы ерша",
,,,,,,,,,,,,,,,,,,,,,0,тэйгэ <sup>нган</sup> (ниж.),,гвоздь,109,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,100,тоһого (верх.),тоһоҕо,гвоздь,109,n,инструменты,токуруйбут тоһого,токуруйбут тоһоҕо,погнутый гвоздь,
,,,,,,,,,,,,,,,,,,,,,100,ойбон,ойбон,прорубь,110,n,рыбалка,ойбон тоӈон каалла,ойбон тоҥон хаалла,прорубь замёрзла,
,,,,,,,,,,,,,,,,,,,,,100,минньигэс,минньигэс,вкусный,111,adj,физические качества,минньигэс астары бэлэмниир,минньигэс астары бэлэмниир,он готовит вкусные блюда,
,,,,,,,,,,,,,,,,,,,,,0,оӈко <sup>эвенк</sup> (ниж.) ,,пастбище,112,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,0,каһыы (верх.),,пастбище,112,n,оленеводство,оӈколоро кэӈээбит,,их пастбище расширено,
,,,,,,,,,,,,,,,,,,,,,0,,мэччирэҥ,пастбище,112,n,коневодство,,,,
,,,,,,,,,,,,,,,,,,,,,0,һобуой,хомурах,сугроб,113,n,природа,дьиэ һага һобуой,дьиэ саҕа хомурах,сугроб размером с дом ,
,,,,,,,,,,,,,,,,1,,,11,12,92,һүгэ <sup>эвенк</sup> ,cүгэ <sup>эвенк</sup> ,топор,114,n,инструменты,һүгэ тыаһа иһиллэр,сүгэ тыаһа иһиллэр,слышен стук топора,
,,,,,,,,,,,,,,,,,,,,,0,һэйро,оһуохай,национальный хороводный танец,115,n,духовная культура,,,,
,,,,,,,,,,,,,,,,,,1,20,21,95,тулаайак,тулаайах,"1. сирота
2. одинокий",116,n,отношения,"тулаайактар каалбыттар
тулаайак огонньор","тулаайахтар хаалбыттар
тулаайах оҕонньор","они остались сиротами
овдовевший старик",
,,,,,,,,,,,,,,,,,,,,,100,түннүк,түннүк,окно,117,n,дом,түннүктэр һабыыларын тардыталаабыта,түннүктэр сабыыларын тардыталаабыта,он задёрнул занавески на окнах,
,,,,,,,,,,,,,,,,,,,,,100,төгүрүк,төгүрүк,"круг, круглый",118,n,физические качества,төгүрүк һырайдаах,төгүрүк сирэйдээх,круглолицый,
,,,,,,,,,,,,,,,,1,,,11,12,92,һоло,соло,свободное время,119,n,время,һолото һуокпут,солото суохпут,у нас нет свободного времени,
,,,,,,,,,,,,,,,1,,,,13,15,87,карчы <sup>рус</sup> ,харчы <sup>рус</sup> ,деньги,120,n,общество,карчы өлөрүнэ һылдьыбыт,харчы өлөрүнэ сылдьыбыт,он ездил зарабатывать деньги,
,,,,,,,,,,,,,,,,1,,,23,24,96,һолкуобай <sup>рус</sup> ,солкуобай <sup>рус</sup> ,рубль,120,n,общество,биир да һолкуобайа һуок каалбыт,биир да солкуобайа суох хаалбыт,он остался без единого рубля,
,,,,,,,,,,,,,,,,,,,,,0,,мөһөөк <sup>рус</sup> ,сто рублей,120,n,общество,,,,
,,,,,,,,,,,,,,,,1,,,17,18,94,һыттык,сыттык,подушка,121,n,,һыттык анныгар тугу эрэ кистиир,сыттык анныгар тугу эрэ кистиир,он что-то прячет под подушкой,
,,,,,,,,,,,,,,,,1,,,14,15,93,һымыыт,сымыыт,яйцо,122,n,"еда, животные",буспут һымыыт,буспут сымыыт,варёное яйцо,
,,,,,,,,,,,,,,,,,,,,,0,ыргакта <sup>эвенк</sup>,,овод,123,n,животные,ыргакта табаны эрэйдиир,,овод мучает оленя,
,,,,,,,,,,,,,,,,,,,,,0,,бүгүлэх,овод,123,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,,тигээйи,овод,123,n,животные,,,,
,,,,,,,,,,,,,,,,,1,,,,0,ыгай,ыҕай,"теснить, оттеснить (һакалыы)
располнеть, заплыть жиром (сахалыы)",124,v,физические качества,"һыгарыс, минигин ыгайагын
армиябытын төттөрү диэк ыгайбыт этэ",ыт ыҕайа сытар,"подвинься, ты меня теснишь
нашу армию оттеснили обратно
собака лежит, заплыв жиром",
,,,,,,,,,,,,,,,,,,,,,100,үрүӈ <sup>Тюрк</sup>,үрүҥ <sup>Тюрк</sup>,белый,125,adj,цвет,,,,
,,,,,,,,,,,,,,,,,,,,,0,чээлкээ <sup>эвенк</sup>,,белый,125,adj,цвет,чээлкээ эбэкээ,,белый медведь,
,,,,,,,,,,,,,,,,,,,,,0,,маҥан <sup>Монг</sup> ,белый,125,adj,цвет,,,,
,,,,,,,,,,,,,,,,,,,,,100,төрөө,төрөө,"1. рожать
2. родиться",126,v,дети,"төрөөбөт тыһы
уол төрөөбүтэ","төрөөбөт тыһы
уол төрөөбүтэ","бесплодная самка
мальчик родился",
,,,,,,,,,,,,,,,1,,,1,16,18,89,олоӈко,олоҥхо,"сказка (һакалыы)
героический эпос, эпическое сказание (сахалыы)",127,n,духовная культура,,,,
,,,,,,,,,,,,,,,,,,,,,0,,остуоруйа <sup>рус</sup> ,сказка,127,n,духовная культура,,саха остуоруйаларын хомуурунньуга,сборник сказок саха,
,,,,,,,,,,,,,,,,,,,,,100,үөн,үөн,"насекомое, червь, паразит",128,n,животные,һамыыр кэнниттэн үөн барыта тагыста,ардах кэнниттэн үөннэр бары таҕыстылар,после дождя все насекомые вылезли,
,,,,,,,,,,,,,,,,,,1,17,18,94,үөннээк,үөннээх,"1. червивый
2. коварный, подлый",128,adj,качества человека,"үөннээк дөгөмөөктө
үөннээк киһи","үөннээх тэллэй
үөннээх киһи","червивый гриб
коварный человек",
,1,,,,,,,,,,,,,,,,1,,16,18,89,ытырга,ытарҕа,серьги,129,n,,көмүс ытырга,көмүс ытарҕа,серебряные серьги,
,,,,,,,,,,,,,,,,,,,,,0,һииктээ,ибиирдээ,моросить,130,v,погода,һииктээри гынар,самыыр ибиирдээри гынар,сейчас начнёт моросить,
,,,,,,,,,,,,,,,,1,,,14,15,93,һиикэй,сиикэй,"1. сырой
2. неспелый",130,adj,физические качества,"һиикэй эти һиир
һиикэй һугун","сиикэй эти сиир
сиикэй сугун","он ест сырое мясо
неспелая голубика",
,,,,,,,,,,,,,,,,1,,1,13,15,87,һүрэк,сүрэх,сердце,131,n,организм,һүрэгэ һуок,сүрэҕэ суох,"ленивый, лентяй",
,,,,,,,,,,,,,,,,1,,2,22,24,92,һүрэктээк,сүрэхтээх,"трудолюбивый, усердный",131,adj,качества человека,һүрэктээк үлэһит,сүрэхтээх үлэһит,усердный работник,
,,,,,1,,,,,,,,,,,,,,15,21,71,маамыт <sup>эвенк</sup>,маамыкта <sup>эвенк</sup>,"мавут, аркан для ловли оленей",132,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,0,,оҕуур,"укрюк, шест с веревочной петлёй на конце",132,n,коневодство,,баһыгар оҕуур быраҕаллар,они бросают ему петлю на голову,
,,,,,1,,,,,,,,,,,,,,9,15,60,балии <sup>эвенк</sup>,"балай <sup>Тунг, Монг</sup>","слепой, незрячий",133,adj,организм,балии киһи оруну кэбэн ааста,балай киһи орону охсон ааста,"слепой человек прошел, задев кровать",
,,,,,,,,,,,,,,,,,,,,,50,,холлоҕос,"1. сруб дома
2. берестяная бочка",134,n,дом,,"дьиэ холлоҕоһун туттубут
холлоҕос көтүтэр тыал","мы построили дом
ветер, способный поднять берестяную бочку",
,,,,,,,,,,,,,,,,,,,,,50,коллогос,,стена,134,n,дом,иччитэк коллогостор,,голые стены,
,,,,,,,,,,,,,,,,,,,,,0,,эркин,стена,134,n,дом,,,,
,,,,,,,,,,,,,,,1,,,,19,21,90,"колоӈсо <sup>Тюрк, Тунг, Монг</sup>","холоҥсо <sup>Тюрк, Тунг, Монг</sup>",запах пота из подмышек,135,n,организм,,,,
,,,,,,,,,,,,,,,,1,,,8,9,89,һыт,сыт,запах,135,n,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,100,лабыкта <sup>эвенк</sup>,лабыкта <sup>эвенк</sup>,"лишайник, ягель",136,n,растения,лабыкта таба аһа,лабыкта таба аһа,ягель — оленья еда,
,,,,,,,,,,,,,,,,,,,,,100,эрдии,эрдии,весло,137,n,инструменты,ууга эрдиитинэн оксубута,ууга эрдиитинэн охсубута,он ударил веслом по воде,
,,,,,,,,,,,,,,,,,,,,,100,эрдииһит,эрдииһит,гребец,137,n,занятия,эрдииһиттэр луоткаларын эргиттилэр,эрдииһиттэр луоккаларын эргиттилэр,гребцы развернули свои лодки,
,,,,,,,,,,,,,,,,,,,,,100,бытык,бытык,"борода, усы",138,n,организм,ким эрэ бытыгыттан кабан ылбыт,ким эрэ бытыгыттан хаба тардан ылбыт,кто-то схватил его за бороду,
,,,,,,,,,,,,,,,,,,,,,100,бэргэһэ,бэргэһэ,шапка,139,n,одежда,бэргэһэлэрин дайбыы турбуттар,бэргэһэлэрин дайбыы турбуттар,они стояли размахивая шапками,
,,,,,,,,,,,,,,,,,,,,,0,ынтыкаа <sup>эвенк</sup>,,меховая шапка-капор из оленьей шкуры,139,n,одежда,,,,
,,,,,,,,,,,,,,,,,,,7,9,78,дьыл,сыл,год (определённый),140,n,время,бу дьыл ыараханнык ааста,бу сыл ыараханнык ааста,этот год тяжело прошёл,
,,,,,,,,,,,,,,,,,,,,,100,дьыл,дьыл,год (общее),140,n,время,"дьыллар ааһаллар, эдэр буолбаппыт","дьыллар ааһаллар, эдэр буолбаппыт","годы проходят, мы не молодеем",
,,,,,,,,,,,,,,,,,,,,,100,быйыл,быйыл,"этот год, в этом году",140,adv,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,быйылгы,быйылгы,этого года,140,adj,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,былыр,былыр,"в былые годы, в древности",140,adv,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,былыргы,былыргы,"старинный, древний",140,adj,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,былырыын,былырыын,в прошлом году,140,adv,время,былырыын университекка киирбитэ,былырыын университекка киирбитэ,он поступил в университет в прошлом году,
,,,,,,,,,,,,,,,,,,,,,100,былырыыӈӈы,былырыыҥҥы,прошлогодний,140,adj,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,эһиил,эһиил,в будущем году,140,adv,время,эһиил кэлиэкпит ,эһиил кэлиэхпит ,мы приедем в будущем году,
,,,,,,,,,,,,,,,,,,,,,100,эһиилги,эһиилги,будущего года,140,adj,время,,,,
,,,,,,,,,,,,,,,,,,,,,100,ууллар,ууллар,"растаивать, растапливать, плавить",141,v,,һыаны уулларбыттара,сыаны уулларбыттара,они растопили жир,
,,,,,,,,,,,,,,,,,,,,,100,умун,умун,забывать,142,v,,тугу этиэктээгин умнан кээстэ,тугу этиэхтээҕин умнан кэбистэ,"он забыл, что должен был сказать",
,,,,,,,,,,,,,,,,,,,,,100,ыт,ыт,собака,143,n,животные,ыт кырсаны туппута,ыт кырсаны туппута,собака поймала песца,
,,,,,,,,,,,,,,,,,,,,,0,ыттаа,,собирать стадо с помощью оленегонной собаки,143,v,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,50,ыт дьиэтэ ,ыт уйата,конура,143,n.cmp,"животные, дом",,,,
,,,,,,,,,,,,,,,,,,,,,100,биир,биир,один,144,num,числительное,биир уостаак һаа,биир уостаах саа,одноствольное ружьё,
,,,,,,,,,,,,,,,,,,,,,100,биирдэ,биирдэ,"однажды, один раз, как-то раз",144,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,100,бииргэ,бииргэ,вместе,144,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,0,бииркээн,,"только один, единственный",144,num,числительное,бииркээн инньэбин кистээбитим,,я спрятала мою единственную иголку,
,,,,,,,,,,,,,,,,,,,,,0,маӈнайгы,бастакы,первый,144,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,100,маӈнайгы,маҥнайгы,первый,144,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,100,маӈнай,маҥнай,"вначале, сначала, сперва",144,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,0,маӈнай,бастаан,"вначале, сначала, сперва",144,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,100,икки,икки,два,145,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,"иккикээн
иккиэйэккээн (верх.)",иккиэйэх,"только два, двое",145,num,числительное,иккикээн/иккиэйэккээн киһи маны кыайбат ,иккиэйэх киһи маны кыайбат ,двоим только это не под силу,
,,,,,,,,,,,,,,,,,,,,,100,иккис,иккис,второй,145,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,80,,иккиэ,двое,145,num,числительное,,биһиги иккиэбит,нас двое,
,,,,,,,,,,,,,,,,,,,,,100,иккиэн,иккиэн,двое,145,num,числительное,биһиги иккиэммит,биһиги иккиэммит,нас двое,
,,,,,,,,,,,,,,,,,,,,,100,үс,үс,три,146,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,"үскээн
үһүөйэккээн (верх.)",үһүөйэх,"только три, трое",146,num,числительное,үскээн/үһүөйэккээн этибит,үһүөйэх этибит,нас было только трое,
,,,,,1,,,,,,,,,,,,,,,,80,,үһүө,трое,146,num,числительное,,эһиги үһүөҕүт,вас трое,
,,,,,,,,,,,,,,,,,,,,,100,үһүөн,үһүөн,трое,146,num,числительное,эһиги үһүөӈӈүт,"
эһиги үһүөҥҥүт",вас трое,
,,,,,,,,,,,,,,,,,,,,,100,үһүс,үһүс,третий,146,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,80,,төрдүө,четверо,147,num,числительное,,кинилэр төрдүөлэр,их четверо,
,,,,,,,,,,,,,,,,,,,,,100,төрдүөн,төрдүөн,четверо,147,num,числительное,гинилэр төрдүөннэр,кинилэр төрдүөннэр,их четверо,
,,,,,,,,,,,,,,,,,,,,,100,төрдүс,төрдүс,четвёртый,147,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,90,түөрдуон,түөрт уон,сорок,147,num,числительное,,,,
,,,,,2,,,,,,,,,,,,,1,,,49,түөрдуоннаак,түөрт уонус,сороковые,147,n,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,түөрккээн,төрдүөйэх,"только четыре, четверо",147,num,числительное,түөрккээн каалбыттар,төрдүөйэх хаалбыттар,они остались только вчетвером,
,,,,,,,,,,,,,,,,,,,,,100,түөрт,түөрт,четыре,147,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,100,биэс,биэс,пять,148,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,биэскээн,бэһиэйэх,"только пять, пятеро",148,num,числительное,бараргыт биэскээн конук каалла ,бараргыт бэһиэйэх хонук хаалла ,до вашего отъезда осталось только пять суток,
,,,,,1,,,,,,,,,,,,,,,,90,биэһуон,биэс уон,пятьдесят,148,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,50,биэһуоннаак,биэс уонус,пятидесятые,148,n,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,100,бэһис,бэһис,пятый,148,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,80,,бэһиэ,пятеро,148,num,числительное,,биһиги бэһиэбит,нас пятеро,
,,,,,,,,,,,,,,,,,,,,,100,бэһиэн,бэһиэн,пятеро,148,num,числительное,биһиги бэһиэммит,биһиги бэһиэммит,нас пятеро,
,,,,,,,,,,,,,,,,,,,17,18,94,һэттис,сэттис,седьмой,149,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,80,,һэттиэ,семеро,149,num,числительное,,кинилэр сэттиэлэр,их семеро,
,,,,,,,,,,,,,,,,,,,,,100,һэттиэн,һэттиэн,семеро,149,num,числительное,гинилэр һэттиэннэр,кинилэр сэттиэннэр,их семеро,
,,,,,,,,,,,,,,,,,,,14,15,93,һэттэ,сэттэ,семь,149,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,14,15,93,һэттэ уон,сэттэ уон,семьдесят,149,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,1,,,49,һэттэ уоннаак,сэттэ уонус,семидесятые,149,n,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,һэттэкээн,сэттиэйэх,"только семь, семеро",149,num,числительное,һэттэкээн буолан бардылар,сэттиэйэх буолан бардылар,они пошли только всемером,
,,,,,,,,,,,,,,,,,,,14,15,93,тогус,тоҕус,девять,150,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,тогускаан,тохсуойох,"только девять, девятеро",150,num,числительное,тогускаан үлэлээбиттэр,тохсуойох үлэлээбиттэр,они работали только вдевятером,
,,,,,1,,,,,,,,,,,,,,,,90,тогуһуон,тоҕус уон,девяносто,150,num,числительное,,,,
,,,,,2,,,,,,,,,,,,1,1,,,49,тогуһуоннаак,тоҕус уонус,девяностые,150,n,числительное,,,,
,,,,,1,,,,,,,,,,,,,1,,,79,,тохсуо,девятеро,150,num,числительное,,эһиги тохсуоҕут,вас девятеро,
,,,,,,,,,,,,,,,,,,1,21,21,100,токсуон,тохсуон,девятеро,150,num,числительное,эһиги токсуоӈӈут,эһиги тохсуоҥҥут,вас девятеро,
,,,,,,,,,,,,,,,,,,,18,18,100,токсус,тохсус,девятый,150,num,числительное,,,,
,,,,,1,,,,,,,,,,,,,,,,80,,онуо,десятеро,151,num,числительное,,кинилэр онуолар,их десятеро,
,,,,,,,,,,,,,,,,,,,15,15,100,онуон,онуон,десятеро,151,num,числительное,гинилэр онуоннар,кинилэр онуоннар,их десятеро,
,,,,,,,,,,,,,,,,,,,,,100,онус,онус,десятый,151,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,100,уон,уон,десять,151,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,уонкаан,уонуойох,"только десять, десятеро",151,num,числительное,уонкаан ытыы һэптээк кааллыбыт,уонуойох ытыы сэптээх хааллыбыт,у нас осталось заряда всего на десять выстрелов,
,,,,,,,,,,,,,,,,,,,,,100,уонча,уонча,около десяти,151,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,кураӈа,кэриҥин,приблизительно,152,part,частица,биэс киломиэтэр кураӈа ааста,биэс киломиэтэр кэриҥин ааста,он прошёл около пяти километров,
,,,,,,,,,,,,,,,,1,,,14,15,93,һүүрбэ,сүүрбэ,двадцать,152,num,числительное,,,,
,,,,,,,,,,,,,,,,1,,,23,24,96,һүүрбэччэ,сүүрбэччэ,около двадцати,152,num,числительное,,,,
,,,,,,,,,,,,,,,,,,,,,0,кат,төгүл,раз,153,part,частица,онно үстэ кат һырыттым ,онно үс төгүл сырыттым ,я ходил туда три раза,
,,,,,,,,,,,,,,,,,,,,,100,отут,отут,тридцать,153,num,числительное,,,,
,,,,,,,,,,,1,,,,,,,,14,15,93,"гытта (ниж.)
кытта (верх.)",кытта,вместе с,154,post,послелог,,,,
,,,,,,,,,,,,,,,,1,,,8,9,89,һүүс,сүүс,сто,154,num,числительное,,,,
,,,,,,,,,,,1,,,,,,,,11,12,92,"гини (ниж.)
кини (верх.)",кини,"он, она, оно",155,pron,местоимение,,,,
,,,,,,,,,,,,,,,,,1,,14,15,93,һүүсчэ,cүүсчэ,около ста,155,num,числительное,,,,
,,,,,,,,,,,,,,,1,,,,7,9,78,каар,хаар,снег,156,n,природа,,,,
,,,,,,,,,,,,,,,1,,,,10,12,83,кара,хара,чёрный,157,adj,цвет,,,,
,,,,,,,,,,,,,,,1,,,,16,18,89,караӈа,хараҥа,темнота,157,n,природа,,,,
,,,,,,,,,,,,,,,1,,,,13,15,87,караар,хараар,чернеть,157,v,цвет,,,,
,,,,,,,,,,,,,,,1,,,,19,21,90,караӈар,хараҥар,темнеть,157,v,природа,һубу караӈарыа,субу хараҥарыа,скоро стемнеет,
,,,,,,,,,,,,,,,,,,,,,0,караама,,олень с тёмным окрасом шерсти,157,n,оленеводство,,,,
,,,,,,,,,,,,,,,,1,,,14,15,93,һамыыр,самыыр,дождь,158,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,0,һамыыр,ардах,дождь,158,n,природа,,,,
,,,,,,,,,,,,,,,,1,,,14,15,93,һиэгэн <sup>Монг</sup>,сиэгэн <sup>Монг</sup>,росомаха,159,n,животные,ойуурга һиэгэннэр баар буолаллар,тыаҕа сиэгэннэр баар буолаллар,в лесу водятся росомахи,
,,,,,,,,,,,,,,,,1,,,5,6,83,һиэ,сиэ,"есть, кушать что-либо",160,v,еда,маны һиэбит киһи даа,маны сиэбит киһи даа,вот бы это съесть,
,,,,,,,,1,,,,,,,,,,1,13,15,87,туньак,туйах,копыто,161,n,животные,туньак ыарыыта онно бүрүсүлүөс үөрү өлөрбүттэрэ,туйах ыарыыта уонна бүрүсүлүөс үөрү өлөрбүттэрэ,копытка и бруцеллёз убили стадо,
,,,,,,,,1,,,,,,,,,,1,13,15,87,таньак,тайах,посох,162,n,"инструменты, оленеводство",таньак түһэ биэрбэт ,тайах түһэ биэрбэт ,посох не даёт упасть,
